تاریخ,نماد,volume,ارزش,دفعات معامله,high,low,close,close_diff,درصد قیمت پایانی,مقدار آخرین قیمت,تغییر آخرین قیمت,درصد آخرین قیمت,قیمت روز قبل,ارزش بازار,date
1387/9/24,شنفت1,6177,29841087,4,4831,4831,4975,-5,-0.1004016064257,4831,-149,-2.991967871,4980,6218750000000,1387/9/24
1387/10/2,شنفت1,2650,12788900,5,4826,4826,4973,-2,-0.04020100502512,4826,-149,-2.994974874,4975,6216250000000,1387/10/2
1387/10/7,شنفت1,206,993744,1,4824,4824,4973,0,0,4824,-149,-2.996179369,4973,6216250000000,1387/10/7
1387/10/11,شنفت1,204,984096,1,4824,4824,4973,0,0,4824,-149,-2.996179369,4973,6216250000000,1387/10/11
1387/11/1,شنفت1,720,3473280,1,4824,4824,4972,-1,-0.02010858636637,4824,-149,-2.996179369,4973,6215000000000,1387/11/1
1387/11/5,شنفت1,1110,5353530,2,4823,4823,4971,-1,-0.02011263073209,4823,-149,-2.996781979,4972,6213750000000,1387/11/5
1387/11/13,شنفت1,1129,5444038,2,4822,4822,4970,-1,-0.020116676725,4822,-149,-2.997384832,4971,6212500000000,1387/11/13
1387/11/14,شنفت1,750,3615750,1,4821,4821,4969,-1,-0.02012072434607,4821,-149,-2.997987928,4970,6211250000000,1387/11/14
1387/11/15,شنفت1,3500,16870000,2,4820,4820,4966,-3,-0.06037432078889,4820,-149,-2.998591266,4969,6207500000000,1387/11/15
1387/11/16,شنفت1,62,298716,1,4818,4818,4966,0,0,4818,-148,-2.980265807,4966,6207500000000,1387/11/16
1387/11/19,شنفت1,50,240900,1,4818,4818,4966,0,0,4818,-148,-2.980265807,4966,6207500000000,1387/11/19
1387/11/26,شنفت1,7090,34159620,1,4818,4818,4961,-5,-0.10068465565847,4818,-148,-2.980265807,4966,6201250000000,1387/11/26
1387/11/27,شنفت1,727,3499051,2,4813,4813,4960,-1,-0.02015722636565,4813,-148,-2.9832695021165,4961,6200000000000,1387/11/27
1387/12/3,شنفت1,20800,99844790,9,4808,4798,4800,-160,-3.2258064516129,4800,-160,-3.2258064516129,4960,6000000000000,1387/12/3
1387/12/11,شنفت1,180,838080,1,4656,4656,4800,0,0,4656,-144,-3,4800,6000000000000,1387/12/11
1387/12/13,شنفت1,534,2486304,1,4656,4656,4800,0,0,4656,-144,-3,4800,6000000000000,1387/12/13
1387/12/17,شنفت1,120000,558720000,39,4656,4656,4656,-144,-3,4656,-144,-3,4800,5820000000000,1387/12/17
1387/12/18,شنفت1,1321,5966957,1,4517,4517,4655,-1,-0.02147766323024,4517,-139,-2.985395189,4656,5818750000000,1387/12/18
1387/12/19,شنفت1,1703,7690748,5,4516,4516,4654,-1,-0.02148227712137,4516,-139,-2.9860365198711,4655,5817500000000,1387/12/19
1387/12/24,شنفت1,684,3088260,3,4515,4515,4654,0,0,4515,-139,-2.986678126,4654,5817500000000,1387/12/24
1387/12/27,شنفت1,10010,45195150,3,4515,4515,4647,-7,-0.15040825096691,4515,-139,-2.986678126,4654,5808750000000,1387/12/27
1387/12/28,شنفت1,43475,195985300,5,4508,4508,4617,-30,-0.64557779212395,4508,-139,-2.991177104,4647,5771250000000,1387/12/28
1388/1/10,شنفت1,300,1343700,1,4479,4479,4617,0,0,4479,-138,-2.988953866,4617,5771250000000,1388/1/10
1388/1/17,شنفت1,100174,448679346,23,4479,4479,4479,-138,-2.988953866,4479,-138,-2.988953866,4617,5598750000000,1388/1/17
1388/1/18,شنفت1,11444,49724180,2,4345,4345,4471,-8,-0.17861129716454,4345,-134,-2.991739228,4479,5588750000000,1388/1/18
1388/1/19,شنفت1,8480,36777760,3,4337,4337,4465,-6,-0.13419816595839,4337,-134,-2.9970923730709,4471,5581250000000,1388/1/19
1388/1/22,شنفت1,500,2166000,1,4332,4332,4465,0,0,4332,-133,-2.978723404,4465,5581250000000,1388/1/22
1388/1/23,شنفت1,10000,43320000,2,4332,4332,4458,-7,-0.15677491601343,4332,-133,-2.978723404,4465,5572500000000,1388/1/23
1388/1/24,شنفت1,14154,61216050,3,4325,4325,4449,-9,-0.20188425302826,4325,-133,-2.983400628,4458,5561250000000,1388/1/24
1388/1/25,شنفت1,2380,10272080,2,4316,4316,4447,-2,-0.04495392222971,4316,-133,-2.989435828,4449,5558750000000,1388/1/25
1388/1/29,شنفت1,1678734,7580610869,300,4580,4314,4516,69,1.551607826,4314,-133,-2.990780301,4447,5645000000000,1388/1/29
1388/1/30,شنفت1,29596,129662576,13,4382,4381,4496,-20,-0.44286979627989,4381,-135,-2.989371125,4516,5620000000000,1388/1/30
1388/1/31,شنفت1,3340,14569080,3,4362,4362,4494,-2,-0.04448398576512,4362,-134,-2.980427046,4496,5617500000000,1388/1/31
1388/2/2,شنفت1,500,2180000,1,4360,4360,4494,0,0,4360,-134,-2.981753449,4494,5617500000000,1388/2/2
1388/2/5,شنفت1,114,497040,1,4360,4360,4494,0,0,4360,-134,-2.981753449,4494,5617500000000,1388/2/5
1388/2/7,شنفت1,27000,117720000,9,4360,4360,4476,-18,-0.40053404539385,4360,-134,-2.981753449,4494,5595000000000,1388/2/7
1388/2/12,شنفت1,22912,99483904,5,4342,4342,4461,-15,-0.33512064343163,4342,-134,-2.993744415,4476,5576250000000,1388/2/12
1388/2/16,شنفت1,6378,27603984,4,4328,4328,4457,-4,-0.08966599417171,4328,-133,-2.981394306,4461,5571250000000,1388/2/16
1388/2/19,شنفت1,914,3952136,2,4324,4324,4456,-1,-0.02243661655822,4324,-133,-2.984070002,4457,5570000000000,1388/2/19
1388/2/20,شنفت1,560,2420880,2,4323,4323,4456,0,0,4323,-133,-2.984739677,4456,5570000000000,1388/2/20
1388/2/21,شنفت1,2491,10768593,5,4323,4323,4454,-2,-0.04488330341113,4323,-133,-2.984739677,4456,5567500000000,1388/2/21
1388/2/22,شنفت1,460,1987660,1,4321,4321,4454,0,0,4321,-133,-2.986079928,4454,5567500000000,1388/2/22
1388/2/23,شنفت1,4372,18891412,2,4321,4321,4451,-3,-0.06735518634934,4321,-133,-2.986079928,4454,5563750000000,1388/2/23
1388/2/26,شنفت1,170,734060,1,4318,4318,4451,0,0,4318,-133,-2.988092563,4451,5563750000000,1388/2/26
1388/2/27,شنفت1,2300,9931400,1,4318,4318,4449,-2,-0.04493372275893,4318,-133,-2.988092563,4451,5561250000000,1388/2/27
1388/2/28,شنفت1,487,2101892,2,4316,4316,4449,0,0,4316,-133,-2.989435828,4449,5561250000000,1388/2/28
1388/2/29,شنفت1,180,776880,1,4316,4316,4449,0,0,4316,-133,-2.989435828,4449,5561250000000,1388/2/29
1388/2/30,شنفت1,10780,46526480,3,4316,4316,4442,-7,-0.157338727804,4316,-133,-2.989435828,4449,5552500000000,1388/2/30
1388/3/2,شنفت1,2308,9945172,2,4309,4309,4440,-2,-0.04502476361999,4309,-133,-2.9941467807294,4442,5550000000000,1388/3/2
1388/3/3,شنفت1,690,2971830,1,4307,4307,4440,0,0,4307,-133,-2.995495495,4440,5550000000000,1388/3/3
1388/3/9,شنفت1,1154,4970278,1,4307,4307,4439,-1,-0.02252252252252,4307,-133,-2.995495495,4440,5548750000000,1388/3/9
1388/3/10,شنفت1,2300,9903800,3,4306,4306,4437,-2,-0.04505519261094,4306,-133,-2.996170309,4439,5546250000000,1388/3/10
1388/3/11,شنفت1,2630,11319520,3,4304,4304,4435,-2,-0.04507550146495,4304,-133,-2.997520847,4437,5543750000000,1388/3/11
1388/3/12,شنفت1,16035,68982570,7,4302,4302,4424,-11,-0.24802705749718,4302,-133,-2.9988726042841,4435,5530000000000,1388/3/12
1388/3/16,شنفت1,50,214600,1,4292,4292,4424,0,0,4292,-132,-2.983725136,4424,5530000000000,1388/3/16
1388/3/18,شنفت1,4000,17168000,2,4292,4292,4421,-3,-0.06781193490054,4292,-132,-2.983725136,4424,5526250000000,1388/3/18
1388/3/19,شنفت1,2318,9941902,3,4289,4289,4419,-2,-0.04523863379325,4289,-132,-2.98574983,4421,5523750000000,1388/3/19
1388/3/20,شنفت1,2550,10931850,4,4287,4287,4417,-2,-0.04525910839556,4287,-132,-2.987101154,4419,5521250000000,1388/3/20
1388/3/23,شنفت1,1000,4285000,1,4285,4285,4416,-1,-0.02263980076975,4285,-132,-2.988453702,4417,5520000000000,1388/3/23
1388/3/26,شنفت1,1857,7955388,4,4284,4284,4415,-1,-0.02264492753623,4284,-132,-2.9891304347826,4416,5518750000000,1388/3/26
1388/3/31,شنفت1,694,2972402,1,4283,4283,4415,0,0,4283,-132,-2.989807475,4415,5518750000000,1388/3/31
1388/4/16,شنفت1,388,1661804,3,4283,4283,4415,0,0,4283,-132,-2.989807475,4415,5518750000000,1388/4/16
1388/4/21,شنفت1,50000,199949100,10,3999,3990,3999,-416,-9.422423556,3999,-416,-9.422423556,4415,4998750000000,1388/4/21
1388/4/22,شنفت1,20,77600,1,3880,3880,3999,0,0,3880,-119,-2.975743936,3999,4998750000000,1388/4/22
1388/5/17,شنفت1,10000,40000000,1,4000,4000,4000,501,14.31837668,4000,501,14.31837668,3499,5000000000000,1388/5/17
1388/5/20,شنفت1,1517,5885960,4,3880,3880,3999,-1,-0.025,3880,-120,-3,4000,4998750000000,1388/5/20
1388/5/24,شنفت1,10,38800,1,3880,3880,3999,0,0,3880,-119,-2.975743936,3999,4998750000000,1388/5/24
1388/5/25,شنفت1,2563,9944440,1,3880,3880,3997,-2,-0.05001250312578,3880,-119,-2.975743936,3999,4996250000000,1388/5/25
1388/5/26,شنفت1,2694,10447332,3,3878,3878,3995,-2,-0.0500375281461,3878,-119,-2.977232925,3997,4993750000000,1388/5/26
1388/5/28,شنفت1,256,992256,1,3876,3876,3995,0,0,3876,-119,-2.978723404,3995,4993750000000,1388/5/28
1388/6/1,شنفت1,5132,19891632,2,3876,3876,3992,-3,-0.07509386733416,3876,-119,-2.978723404,3995,4990000000000,1388/6/1
1388/6/3,شنفت1,2311,8950503,2,3873,3873,3991,-1,-0.0250501002004,3873,-119,-2.980961924,3992,4988750000000,1388/6/3
1388/6/4,شنفت1,5100,19747200,5,3872,3872,3988,-3,-0.07516913054372,3872,-119,-2.981708845,3991,4985000000000,1388/6/4
1388/6/7,شنفت1,141188,546947879,46,3940,3869,3907,-81,-2.03109328,3869,-119,-2.9839518555667,3988,4883750000000,1388/6/7
1388/6/8,شنفت1,3412,12931480,3,3790,3790,3905,-2,-0.05119017148707,3790,-117,-2.994625032,3907,4881250000000,1388/6/8
1388/6/9,شنفت1,5291,20042308,2,3788,3788,3902,-3,-0.07682458386683,3788,-117,-2.996158771,3905,4877500000000,1388/6/9
1388/6/10,شنفت1,15050,56964250,5,3785,3785,3893,-9,-0.23065094823167,3785,-117,-2.998462327,3902,4866250000000,1388/6/10
1388/6/11,شنفت1,3289,12422553,5,3777,3777,3891,-2,-0.05137426149499,3777,-116,-2.979707167,3893,4863750000000,1388/6/11
1388/6/14,شنفت1,1054,3978850,1,3775,3775,3890,-1,-0.02570033410434,3775,-116,-2.981238756,3891,4862500000000,1388/6/14
1388/6/15,شنفت1,2883,10880442,4,3774,3774,3888,-2,-0.05141388174807,3774,-116,-2.982005141,3890,4860000000000,1388/6/15
1388/6/16,شنفت1,3951,14903172,2,3772,3772,3886,-2,-0.0514403292181,3772,-116,-2.9835390946502,3888,4857500000000,1388/6/16
1388/6/18,شنفت1,1193,4497610,2,3770,3770,3885,-1,-0.02573340195573,3770,-116,-2.985074627,3886,4856250000000,1388/6/18
1388/6/23,شنفت1,2691,10142379,4,3769,3769,3883,-2,-0.05148005148005,3769,-116,-2.985842986,3885,4853750000000,1388/6/23
1388/7/5,شنفت1,13274,50003158,4,3767,3767,3875,-8,-0.20602626834921,3767,-116,-2.987380891,3883,4843750000000,1388/7/5
1388/7/6,شنفت1,260,977340,1,3759,3759,3875,0,0,3759,-116,-2.993548387,3875,4843750000000,1388/7/6
1388/7/8,شنفت1,720,2706480,2,3759,3759,3875,0,0,3759,-116,-2.993548387,3875,4843750000000,1388/7/8
1388/7/11,شنفت1,25550,96042450,8,3759,3759,3860,-15,-0.38709677419354,3759,-116,-2.993548387,3875,4825000000000,1388/7/11
1388/7/12,شنفت1,4324,16193380,5,3745,3745,3858,-2,-0.05181347150259,3745,-115,-2.979274611,3860,4822500000000,1388/7/12
1388/7/13,شنفت1,4360,16319480,5,3743,3743,3855,-3,-0.07776049766718,3743,-115,-2.980819077,3858,4818750000000,1388/7/13
1388/7/14,شنفت1,10930,40878200,3,3740,3740,3849,-6,-0.1556420233463,3740,-115,-2.983138781,3855,4811250000000,1388/7/14
1388/7/15,شنفت1,1573,5873582,3,3734,3734,3848,-1,-0.02598077422707,3734,-115,-2.987789036,3849,4810000000000,1388/7/15
1388/7/18,شنفت1,15256,56951502,14,3740,3733,3839,-9,-0.23388773388773,3733,-115,-2.988565489,3848,4798750000000,1388/7/18
1388/7/19,شنفت1,5000,18620000,4,3724,3724,3836,-3,-0.07814535035165,3724,-115,-2.995571763,3839,4795000000000,1388/7/19
1388/7/20,شنفت1,1670,6214070,2,3721,3721,3835,-1,-0.02606882168925,3721,-115,-2.997914494,3836,4793750000000,1388/7/20
1388/7/21,شنفت1,1533,5704283,2,3721,3720,3834,-1,-0.02607561929595,3720,-115,-2.9986962190352,3835,4792500000000,1388/7/21
1388/7/25,شنفت1,38621,143639283,12,3720,3719,3812,-22,-0.57381324986958,3720,-114,-2.973395931,3834,4765000000000,1388/7/25
1388/7/26,شنفت1,5354,19834730,9,3719,3699,3809,-3,-0.07869884575026,3699,-113,-2.96432319,3812,4761250000000,1388/7/26
1388/7/27,شنفت1,12400,45847094,9,3700,3695,3802,-7,-0.1837752690995,3695,-114,-2.992911525,3809,4752500000000,1388/7/27
1388/7/28,شنفت1,130225,480992080,33,3721,3688,3731,-71,-1.86743819,3688,-114,-2.998421883,3802,4663750000000,1388/7/28
1388/7/29,شنفت1,7280,26353600,4,3620,3620,3727,-4,-0.10720986330742,3620,-111,-2.975073707,3731,4658750000000,1388/7/29
1388/8/2,شنفت1,33600,121497600,8,3616,3616,3708,-19,-0.50979339951703,3616,-111,-2.978266702,3727,4635000000000,1388/8/2
1388/8/3,شنفت1,2741,9859377,5,3597,3597,3706,-2,-0.0539374325782,3597,-111,-2.993527508,3708,4632500000000,1388/8/3
1388/8/4,شنفت1,9609,34544355,8,3595,3595,3701,-5,-0.13491635186184,3595,-111,-2.995143011,3706,4626250000000,1388/8/4
1388/8/5,شنفت1,216454,787426124,58,3812,3591,3638,-63,-1.7022426371251,3812,111,2.999189408,3701,4547500000000,1388/8/5
1388/8/6,شنفت1,59,221073,1,3747,3747,3638,0,0,3747,109,2.996151732,3638,4547500000000,1388/8/6
1388/8/9,شنفت1,19800,74190600,4,3747,3747,3649,11,0.30236393622869,3747,109,2.996151732,3638,4561250000000,1388/8/9
1388/8/10,شنفت1,61400,230741200,25,3758,3758,3682,33,0.90435735818032,3758,109,2.987119759,3649,4602500000000,1388/8/10
1388/8/11,شنفت1,73252,277771584,21,3792,3792,3722,40,1.086366105,3792,110,2.98750679,3682,4652500000000,1388/8/11
1388/8/12,شنفت1,140000,536620000,32,3833,3833,3800,78,2.095647501,3833,111,2.982267598,3722,4750000000000,1388/8/12
1388/8/13,شنفت1,100671,387962628,37,3914,3793,3827,27,0.71052631578947,3914,114,3,3800,4783750000000,1388/8/13
